,timestamp,device,temperature,humidity,Tumbol,Amphur,Province
0,2022-12-01 01:00:00+00:00,AA180121,509.9,99.6166666666667,Bo Phut,Ko Samui,Surat Thani
1,2022-12-01 02:00:00+00:00,AA180121,509.9,93.1,Bo Phut,Ko Samui,Surat Thani
2,2022-12-01 03:00:00+00:00,AA180121,509.9,82.2833333333333,Bo Phut,Ko Samui,Surat Thani
3,2022-12-01 04:00:00+00:00,AA180121,509.9,78.9,Bo Phut,Ko Samui,Surat Thani
4,2022-12-01 05:00:00+00:00,AA180121,509.9,76.2666666666667,Bo Phut,Ko Samui,Surat Thani
5,2022-12-01 06:00:00+00:00,AA180121,509.9,80.45,Bo Phut,Ko Samui,Surat Thani
6,2022-12-01 07:00:00+00:00,AA180121,509.9,80.3666666666667,Bo Phut,Ko Samui,Surat Thani
7,2022-12-01 08:00:00+00:00,AA180121,509.9,85.5166666666667,Bo Phut,Ko Samui,Surat Thani
8,2022-12-01 09:00:00+00:00,AA180121,509.9,85.4166666666667,Bo Phut,Ko Samui,Surat Thani
9,2022-12-01 10:00:00+00:00,AA180121,509.9,87.65,Bo Phut,Ko Samui,Surat Thani
10,2022-12-01 11:00:00+00:00,AA180121,509.9,96.3833333333333,Bo Phut,Ko Samui,Surat Thani
11,2022-12-01 12:00:00+00:00,AA180121,509.9,99.4333333333333,Bo Phut,Ko Samui,Surat Thani
12,2022-12-01 13:00:00+00:00,AA180121,509.9,99.3666666666667,Bo Phut,Ko Samui,Surat Thani
13,2022-12-01 14:00:00+00:00,AA180121,509.9,99.5833333333333,Bo Phut,Ko Samui,Surat Thani
14,2022-12-01 15:00:00+00:00,AA180121,509.9,99.6333333333333,Bo Phut,Ko Samui,Surat Thani
15,2022-12-01 16:00:00+00:00,AA180121,509.9,99.6,Bo Phut,Ko Samui,Surat Thani
16,2022-12-01 17:00:00+00:00,AA180121,509.9,99.65,Bo Phut,Ko Samui,Surat Thani
17,2022-12-01 18:00:00+00:00,AA180121,509.9,99.4166666666667,Bo Phut,Ko Samui,Surat Thani
18,2022-12-01 19:00:00+00:00,AA180121,509.9,99.4833333333333,Bo Phut,Ko Samui,Surat Thani
19,2022-12-01 20:00:00+00:00,AA180121,509.9,99.5833333333333,Bo Phut,Ko Samui,Surat Thani
20,2022-12-01 21:00:00+00:00,AA180121,509.9,99.4833333333333,Bo Phut,Ko Samui,Surat Thani
21,2022-12-01 22:00:00+00:00,AA180121,509.9,99.6666666666667,Bo Phut,Ko Samui,Surat Thani
22,2022-12-01 23:00:00+00:00,AA180121,509.9,99.5,Bo Phut,Ko Samui,Surat Thani
23,2022-12-02 00:00:00+00:00,AA180121,509.9,99.5666666666667,Bo Phut,Ko Samui,Surat Thani
24,2022-12-02 01:00:00+00:00,AA180121,509.9,97.8666666666667,Bo Phut,Ko Samui,Surat Thani
25,2022-12-02 02:00:00+00:00,AA180121,509.9,90.9666666666667,Bo Phut,Ko Samui,Surat Thani
26,2022-12-02 03:00:00+00:00,AA180121,509.9,86.2,Bo Phut,Ko Samui,Surat Thani
27,2022-12-02 04:00:00+00:00,AA180121,509.9,83.1833333333333,Bo Phut,Ko Samui,Surat Thani
28,2022-12-02 05:00:00+00:00,AA180121,509.9,82.2333333333333,Bo Phut,Ko Samui,Surat Thani
29,2022-12-02 06:00:00+00:00,AA180121,509.9,78.7833333333333,Bo Phut,Ko Samui,Surat Thani
